Year,Month,Week,Long_Signals,Short_Signals,Long_Bonus,Short_Bonus,Step_Min,Step_Max
2017,4,15,476,294,723.0,516.0,0,535
2017,4,16,1403,221,1848.5,239.0,536,1207
2017,4,17,1386,299,1975.0,418.5,1208,1879
2017,5,18,2301,351,2996.0,527.0,1880,2551
2017,5,19,1517,234,2053.5,280.5,2552,3223
2017,5,20,1701,303,2308.0,386.0,3224,3895
2017,5,21,1751,308,2306.5,389.5,3896,4567
2017,5,22,346,297,536.0,426.5,4568,4855
2017,6,22,641,142,972.0,176.0,4856,5239
2017,6,23,1570,242,1984.5,338.0,5240,5911
2017,6,24,825,593,1125.5,868.5,5912,6583
2017,6,25,832,855,1087.0,1073.5,6584,7255
2017,6,26,571,786,840.5,971.0,7256,7735
2017,7,26,216,459,301.5,578.5,7736,7927
2017,7,27,670,1233,870.0,2180.5,7928,8599
2017,7,28,538,1200,928.5,1773.5,8600,9271
2017,7,29,1229,294,1780.0,396.5,9272,9943
2017,7,30,818,824,1097.0,1077.0,9944,10615
2017,7,31,123,73,183.0,60.5,10616,10711
2017,8,31,1379,463,1732.0,593.5,10712,11287
2017,8,32,2118,228,2724.5,372.0,11288,11959
2017,8,33,989,484,1225.0,659.5,11960,12631
2017,8,34,898,387,1255.5,458.0,12632,13303
2017,8,35,942,332,1357.5,350.0,13304,13687
2017,9,35,751,286,923.0,395.5,13688,13975
2017,9,36,974,726,1118.5,885.0,13976,14647
2017,9,37,511,1041,738.0,1484.5,14648,15319
2017,9,38,633,932,933.5,1731.5,15320,15991
2017,9,39,1072,285,1500.0,357.5,15992,16567
2017,10,39,137,180,217.0,233.0,16568,16663
2017,10,40,959,870,1261.0,1007.0,16664,17280
2017,10,41,2193,155,2808.0,159.0,17281,17952
2017,10,42,979,309,1392.5,354.5,17953,18624
2017,10,43,771,585,1126.0,751.5,18625,19296
2017,10,44,806,26,1058.5,22.5,19297,19488
2017,11,44,1694,72,2090.0,110.5,19489,19968
2017,11,45,870,629,1214.5,880.5,19969,20640
2017,11,46,1294,259,1950.5,384.0,20641,21312
2017,11,47,1351,221,1760.5,297.5,21313,21984
2017,11,48,1404,100,1758.5,125.0,21985,22368
2017,12,48,587,42,829.5,69.5,22369,22656
2017,12,49,2533,294,3184.0,392.0,22657,23328
2017,12,50,1369,253,1828.0,348.0,23329,24000
2017,12,51,603,662,784.5,919.0,24001,24672
2017,12,52,495,801,782.0,1234.0,24673,25344
2018,1,1,1010,564,1405.0,854.0,25345,26016
2018,1,2,481,1009,618.5,1394.0,26017,26688
2018,1,3,462,830,655.0,1284.5,26689,27360
2018,1,4,617,899,994.0,1326.5,27361,28032
2018,1,5,111,534,174.5,916.5,28033,28320
2018,2,5,248,585,346.0,984.5,28321,28704
2018,2,6,615,863,978.0,1493.5,28705,29376
2018,2,7,1033,313,1365.0,465.0,29377,30048
2018,2,8,839,957,1118.0,1189.0,30049,30720
2018,2,9,341,472,494.5,514.5,30721,31008
2018,3,9,924,227,1209.5,250.5,31009,31392
2018,3,10,651,794,862.5,1069.0,31393,32064
2018,3,11,618,1036,888.0,1676.5,32065,32736
2018,3,12,863,600,1345.5,887.0,32737,33408
2018,3,13,295,948,416.5,1535.5,33409,33984
2018,4,13,123,140,171.0,216.5,33985,34080
2018,4,14,445,477,762.0,773.0,34081,34657
2018,4,15,1281,421,1755.5,659.5,34658,35329
2018,4,16,1645,324,2053.0,405.5,35330,36001
2018,4,17,1592,295,2078.5,382.0,36002,36673
2018,4,18,91,107,124.0,133.5,36674,36769
