Total steps: 256381
Steps without conditions for long: 90299
Steps without conditions for short: 101623
Steps without any conditions: 15780
Conditions long > short: 112205
Conditions short > long: 103054
Steps with points long > short: 117250
Steps with points short > long: 109551

Conditions by momths
 Year  Month  No_Long_Signals  Long_Signals_GT_Short  No_Short_Signals  Short_Signals_GT_Long  Long_Bonus_GT_Short  Short_Bonus_GT_Long  No_Signals_Both  Total_Steps
 2017      4              528                   1120              1322                    332                 1140                  379              281         1880
 2017      5              463                   2160              1987                    456                 2159                  529              170         2976
 2017      6              806                   1439              1381                    964                 1537                  988              184         2880
 2017      7             1112                   1110               914                   1399                 1219                 1485               95         2976
 2017      8              492                   1862              1717                    551                 1898                  686              188         2976
 2017      9              837                   1127              1009                   1188                 1191                 1288              116         2880
 2017     10              606                   1609              1526                    642                 1746                  705              261         2921
 2017     11              448                   2008              1988                    327                 2021                  460              238         2880
 2017     12              871                   1651              1699                    816                 1667                  889              248         2976
 2018      1             1486                    892              1043                   1534                  942                 1588              340         2976
 2018      2             1156                   1110              1107                   1181                 1178                 1232              192         2688
 2018      3             1295                    994              1004                   1406                 1061                 1448              239         2976
 2018      4              851                   1559              1642                    688                 1586                  754              309         2785
 2018      5             1642                    961              1140                   1479                 1009                 1494              340         2976
 2018      6             1522                    852              1047                   1541                  915                 1568              302         2880
 2018      7              832                   1625              1334                    862                 1690                  936              181         2976
 2018      8             1141                   1096               930                   1342                 1159                 1456              158         2976
 2018      9              871                   1377              1235                   1016                 1435                 1113              190         2880
 2018     10             1714                    421                81                   2148                  537                 2224                1         2881
 2018     11             1664                    738               615                   1693                  830                 1728              204         2880
 2018     12             1438                   1075              1071                   1466                 1109                 1512              198         2976
 2019      1             1579                    777               298                   1923                  868                 1993               41         2976
 2019      2              836                   1359              1279                    873                 1378                  955              196         2688
 2019      3              201                   1679              1292                    781                 1748                  931                2         2976
 2019      4              636                   1602              1598                    657                 1620                  732              257         2785
 2019      5              623                   1943              1842                    580                 2005                  642              251         2976
 2019      6              504                   1822              1738                    606                 1848                  679              207         2880
 2019      7             1313                    891               663                   1623                  968                 1667              140         2976
 2019      8             1411                   1108              1167                   1369                 1174                 1428              283         2976
 2019      9             1463                    811               600                   1708                  862                 1754              127         2880
 2019     10             1354                   1043               979                   1494                 1142                 1537              156         2881
 2019     11             1494                    799               790                   1626                  887                 1679              146         2880
 2019     12             1760                    696               521                   1957                  800                 1958              139         2976
 2020      1              701                   1805              1551                    725                 1819                  815              164         2976
 2020      2              895                   1366              1332                    957                 1401                 1028              176         2784
 2020      3             1310                    904               846                   1535                  991                 1612              136         2881
 2020      4              588                   1550              1005                    858                 1597                 1020               49         2880
 2020      5              676                   1661              1529                    686                 1685                  802              279         2976
 2020      6              865                   1167              1161                   1190                 1246                 1245              218         2880
 2020      7              838                   1577              1173                   1108                 1621                 1197               37         2976
 2020      8              787                   1538              1561                    839                 1601                  914              258         2976
 2020      9             1171                    842               807                   1454                  906                 1565              143         2785
 2020     10              492                   1889              1559                    695                 1922                  798              110         2976
 2020     11              736                   1774              1770                    618                 1823                  676              267         2880
 2020     12              642                   1798              1797                    653                 1845                  727              269         2976
 2021      1              832                   1462              1429                    932                 1501                 1052              264         2976
 2021      2              356                   1784              1486                    568                 1805                  625               77         2688
 2021      3              598                   1496              1252                    960                 1569                 1028               82         2881
 2021      4              774                   1284              1165                   1045                 1341                 1138              226         2880
 2021      5             1425                    835               818                   1631                  925                 1689              214         2976
 2021      6             1476                    971              1057                   1479                 1067                 1502              246         2880
 2021      7             1196                   1067               675                   1455                 1151                 1573               70         2976
 2021      8              748                   1659              1511                    843                 1707                  941              197         2976
 2021      9             1046                   1137              1187                   1127                 1203                 1168              308         2785
 2021     10              647                   1826              1769                    640                 1873                  716              229         2976
 2021     11              821                   1171               910                   1341                 1213                 1421               43         2880
 2021     12             1604                    736               720                   1828                  826                 1846              182         2976
 2022      1             1697                    775               867                   1774                  825                 1830              232         2976
 2022      2             1020                   1168              1017                   1114                 1208                 1172              205         2688
 2022      3              935                   1365               996                   1188                 1390                 1258               57         2881
 2022      4             1539                    911               906                   1642                  973                 1658              174         2880
 2022      5             1753                    834               961                   1672                  885                 1721              284         2976
 2022      6             1538                    642               514                   1821                  708                 1888              125         2880
 2022      7              825                   1365               806                   1229                 1423                 1308               23         2976
 2022      8              838                   1129               940                   1375                 1167                 1481               80         2976
 2022      9             1273                    852               830                   1525                  894                 1627              165         2785
 2022     10             1365                    994               504                   1677                 1054                 1743               20         2976
 2022     11             1231                   1028               923                   1466                 1087                 1539              149         2880
 2022     12             1323                    886               457                   1711                  982                 1749               69         2976
 2023      1              605                   2017              1852                    626                 2058                  673              174         2976
 2023      2              895                   1230              1199                    902                 1292                  952              257         2688
 2023      3             1062                   1401              1315                   1039                 1462                 1099              211         2881
 2023      4              798                   1341              1312                    984                 1407                 1030              201         2880
 2023      5             1386                   1036              1129                   1432                 1065                 1494              296         2976
 2023      6              833                   1325              1155                   1035                 1385                 1135              134         2880
 2023      7             1151                    953               785                   1449                 1032                 1540              151         2976
 2023      8             1844                    621               500                   1948                  678                 1992              149         2976
 2023      9             1330                    916               540                   1462                  993                 1576              126         2785
 2023     10              660                   1841              1717                    580                 1838                  774              209         2976
 2023     11              843                   1521              1637                    779                 1565                  870              340         2880
 2023     12              291                   1724              1568                    804                 1775                  894               66         2976
 2024      1              998                   1225               890                   1319                 1298                 1375               81         2976
 2024      2              549                   1608              1451                    736                 1663                  803              164         2784
 2024      3              592                   1620              1588                    712                 1679                  785              234         2976
 2024      4             1177                    933               556                   1501                  996                 1616               36         2880
 2024      5              971                   1376              1095                   1159                 1444                 1238              132         2976
 2024      6             1080                   1075              1011                   1382                 1101                 1458              195         2880
 2024      7              970                   1439              1478                    924                 1477                 1059              259         2976
